sentence,fine_class,sentence+prompt,prompt,coarse_class
"This fallacy assumes something is true (or right, or good) because other people agree with it.",ad populum,"This fallacy assumes something is true (or right, or good) because other people agree with it. This is a form of ""herding"". attack: sheared sheep claim: The only the fallacy doesn't make sense because the person making it doesn't realize herding isn't the cause of sheep going where they're supposed to go. It's the other way around. Sheared sheep go where they're supposed to go because it's what everybody else is doing. ""A is better than B because everyone believes that A is better tha"," This is a form of ""herding"". attack: sheared sheep claim: The only the fallacy doesn't make sense because the person making it doesn't realize herding isn't the cause of sheep going where they're supposed to go. It's the other way around. Sheared sheep go where they're supposed to go because it's what everybody else is doing. ""A is better than B because everyone believes that A is better tha",fallacy of relevance
"You ask your mother if you can go to the mall with your friends. She says ""no"". You ask why? She says, ""because I'm the mom and I say so"". This is an example of which logical fallacy?",fallacy of credibility,"You ask your mother if you can go to the mall with your friends. She says ""no"". You ask why? She says, ""because I'm the mom and I say so"". This is an example of which logical fallacy? Arg 1: Your mother Arg 2: you ", Arg 1: Your mother Arg 2: you ,fallacy of relevance
"Michael Jackson, Kurt Cobain, and Jimi Hendrix were rock stars who died young. Therefore, if you become a rock star, don’t expect to live a long life.",false causality,"Michael Jackson, Kurt Cobain, and Jimi Hendrix were rock stars who died young. Therefore, if you become a rock star, don’t expect to live a long life. Event A: Michael Jackson, Kurt Cobain, and Jimi Hendrix were rock stars Event B: expect to live a long life Cause: because they were rock stars "," Event A: Michael Jackson, Kurt Cobain, and Jimi Hendrix were rock stars Event B: expect to live a long life Cause: because they were rock stars ",component fallacy
I think that businesses should not have to limit the amount of pollutants they  release into the atmosphere because Rush Limbaugh says that there is no real  evidence for industrial pollutants causing the Greenhouse Effect.,fallacy of credibility,"I think that businesses should not have to limit the amount of pollutants they release into the atmosphere because Rush Limbaugh says that there is no real evidence for industrial pollutants causing the Greenhouse Effect. I think Rush Limbaugh is a genius. Arg 1: businesses should not have to limit the amount of pollutants they release into atmosphere because Rush Limbaugh says that there is no real evidence for industrial pollutants causing the Greenhouse Effect Arg 2: Rush Limbaugh is a genius, businesses should not have to limit the amount of pollutants they release into the atmosphere "," think Rush Limbaugh is a genius. Arg 1: businesses should not have to limit the amount of pollutants they release into atmosphere because Rush Limbaugh says that there is no real evidence for industrial pollutants causing the Greenhouse Effect Arg 2: Rush Limbaugh is a genius, businesses should not have to limit the amount of pollutants they release into the atmosphere ",fallacy of relevance
"Anthony and Marie have a heated argument. During their fight, Anthony tells Marie that he hates her and wished that she would get hit by a bus. Later that evening, Anthony receives a call from a friend who tells him that Marie is in the hospital because she was struck by a bus. Anthony immediately blames himself and reasons that if he hadn't made that comment during their fight, Marie would not have been hit. What logical fallacy has Anthony committed?
http://www.funtrivia.com",false causality,"Anthony and Marie have a heated argument. During their fight, Anthony tells Marie that he hates her and wished that she would get hit by a bus. Later that evening, Anthony receives a call from a friend who tells him that Marie is in the hospital because she was struck by a bus. Anthony immediately blames himself and reasons that if he hadn't made that comment during their fight, Marie would not have been hit. What logical fallacy has Anthony committed? http://www.funtrivia.com/questions/111255 ",/questions/111255 ,component fallacy
(Ignoring the Question): when a rebuttal doesn't address the question ,fallacy of relevance,"(Ignoring the Question): when a rebuttal doesn't address the question (Question): Who got up really, really early this morning? ","(Question): Who got up really, really early this morning? ",fallacy of relevance
FDR was a mighty engine pulling country out of desert of Great Depression,fallacy of logic,"FDR was a mighty engine pulling country out of desert of Great Depression; he was a leader to the whole world in saving the peace, war. Arg 1: FDR was a mighty engine Arg 2: pulling country out of desert of great depression Arg 3: a leader to the whole world to save the peace Arg 4: war Arg 5: he was a leader for the whole world","; he was a leader to the whole world in saving the peace, war. Arg 1: FDR was a mighty engine Arg 2: pulling country out of desert of great depression Arg 3: a leader to the whole world to save the peace Arg 4: war Arg 5: he was a leader for the whole world",component fallacy
"Bill lives in a large building, so his apartment must be large.""",fallacy of logic,"Bill lives in a large building, so his apartment must be large."" Choice 1: must be large Choice 2: is the large ",Choice 1: must be large Choice 2: is the large ,component fallacy
Are you one of those stupid religious people that reject science?,intentional,Are you one of those stupid religious people that reject science? Argument: Intention: , Argument: Intention: ,fallacy of relevance
"""Yesterday, you were late for ten minutes. Today you were late for an hour. You know someday, you will simply cease to show up.""

What logical fallacy is used in the statement above?",faulty generalization,"""Yesterday, you were late for ten minutes. Today you were late for an hour. You know someday, you will simply cease to show up."" What logical fallacy is used in the statement above? Phenomenon: yesterday you were late for ten minutes Conclusion: today you were late for an hour ",Phenomenon: yesterday you were late for ten minutes Conclusion: today you were late for an hour ,component fallacy
"Employees are like nails. Just as nails must be hit in the head in order to make them work, so must employees.",fallacy of logic,"Employees are like nails. Just as nails must be hit in the head in order to make them work, so must employees. If they work efficiently, they will not be harassed. Arg 1: Employees are like nails Arg 2: must hit in the head in order to make them work "," If they work efficiently, they will not be harassed. Arg 1: Employees are like nails Arg 2: must hit in the head in order to make them work ",component fallacy
"Most of my testimony about the defendant was the opposite of what I actually believe but I'll bet there's no expert witness who has always told the truth from the time they were old enough to talk, so I'm no less honest than they are.",faulty generalization,"Most of my testimony about the defendant was the opposite of what I actually believe but I'll bet there's no expert witness who has always told the truth from the time they were old enough to talk, so I'm no less honest than they are. Claim: believe the opposite of what I actually think Distortion: always tell the truth ", Claim: believe the opposite of what I actually think Distortion: always tell the truth ,component fallacy
Of course Lou would want to go biking on field trip day - biking is the only thing he ever does! He shouldn't be allowed to choose an activity.,ad hominem,Of course Lou would want to go biking on field trip day - biking is the only thing he ever does! He shouldn't be allowed to choose an activity. Claim Y: be allowed to choose an activity like biking Credibility: Of course Lou would want to go biking , Claim Y: be allowed to choose an activity like biking Credibility: Of course Lou would want to go biking ,fallacy of relevance
"The last Democrat winner of the New Hampshire primary won the general election. This year, the winner of the New Hampshire primary will win the general election.",faulty generalization,"The last Democrat winner of the New Hampshire primary won the general election. This year, the winner of the New Hampshire primary will win the general election. Population: New Hampshire Belief:New Hampshire Claim: will win the general election ", Population: New Hampshire Belief:New Hampshire Claim: will win the general election ,component fallacy
We know God exists because he made everything,circular reasoning,We know God exists because he made everything. Phenomenon: we know god exists because he made everything. Conclusion: God exists ,. Phenomenon: we know god exists because he made everything. Conclusion: God exists ,component fallacy
"If we let this child bring the permission slip late, there is no reason to ever set a deadline for anything again!",faulty generalization,"If we let this child bring the permission slip late, there is no reason to ever set a deadline for anything again! Phenomenon: we let the child bring the permission slip late Conclusion: there is no reason to ever set a deadline for anything ", Phenomenon: we let the child bring the permission slip late Conclusion: there is no reason to ever set a deadline for anything ,component fallacy
"""That's what abortion is - killing innocent humans for money. Abortionists are government licensed hit men.""",ad hominem,"""That's what abortion is - killing innocent humans for money. Abortionists are government licensed hit men."" ", ,fallacy of relevance
"""How could you not believe in ghosts? Roughly two billon people believe in them, so don't you think you should reconsider your opinion?""",ad populum,"""How could you not believe in ghosts? Roughly two billon people believe in them, so don't you think you should reconsider your opinion?"" Population: everyone else who believes there are ghosts Belief: believe Claim: should reconsider your opinion ", Population: everyone else who believes there are ghosts Belief: believe Claim: should reconsider your opinion ,fallacy of relevance
"My new way of obtaining informed consent helps prevent dropouts. I chose the three therapists in our clinic who had the highest dropout rates and taught them my new informed consent procedure. The first month that they started using it, all three had significantly lower dropout rates.",false causality,"My new way of obtaining informed consent helps prevent dropouts. I chose the three therapists in our clinic who had the highest dropout rates and taught them my new informed consent procedure. The first month that they started using it, all three had significantly lower dropout rates. ", ,component fallacy
I guess that I should by my 12 year old an iPhone since everyone else has one.,ad populum,I guess that I should by my 12 year old an iPhone since everyone else has one. Population: everyone else Belief: have an iPhone Claim: should buy my 12 year old an iPhone. , Population: everyone else Belief: have an iPhone Claim: should buy my 12 year old an iPhone. ,fallacy of relevance
"If you told a person, ""I think we should all stay inside to bend the curve of COVID-19"" and they replied, ""so I guess you want people to lose their jobs then,"" what logical fallacy are they using?",fallacy of extension,"If you told a person, ""I think we should all stay inside to bend the curve of COVID-19"" and they replied, ""so I guess you want people to lose their jobs then,"" what logical fallacy are they using? Claim: ""I think we should all stay inside to bend the curve of COVID-19"" Distortion: lose jobs "," Claim: ""I think we should all stay inside to bend the curve of COVID-19"" Distortion: lose jobs ",component fallacy
"All judges are fair-minded individuals;  therefore, Judge Ito is fair in his decisions.",fallacy of logic,"All judges are fair-minded individuals; therefore, Judge Ito is fair in his decisions. Event A: judges are fair-minded individuals Event B: a fair decision Cause: Judge Ito is fair in his decisions ",Event A: judges are fair-minded individuals Event B: a fair decision Cause: Judge Ito is fair in his decisions ,component fallacy
"The number of off-leash dogs I've seen in Livingston is completely unacceptable. Let's make our streets safe again by addressing this dog problem, before our city becomes a haven for criminals.",fallacy of relevance,"The number of off-leash dogs I've seen in Livingston is completely unacceptable. Let's make our streets safe again by addressing this dog problem, before our city becomes a haven for criminals. \""[The dogs] look like garbage,\” one resident declared. \""\”How do you live here?\” she added. Claim X: this dog problem Claim Y: how do you live here "," \""[The dogs] look like garbage,\” one resident declared. \""\”How do you live here?\” she added. Claim X: this dog problem Claim Y: how do you live here ",fallacy of relevance
"""We've got to stop them from banning poetry. Once they start banning one form of literature, they will never stop. Next thing you know, they will be burning all the books!"" Ammar demanded.",faulty generalization,"""We've got to stop them from banning poetry. Once they start banning one form of literature, they will never stop. Next thing you know, they will be burning all the books!"" Ammar demanded. ""We need to get one of those online petitions going for people to agree with us..."" I said. ""What? And tell the admins of the wiki that we support poems?"" Ammar added. ""No, I just need money for a lawyer..."" I told him. ""So why didn't you just tell them that you wanted to get banned from the wiki?"" Ammar asked. ""They asked me to send in my reasons why I wanted to be banned!"" I told him. ""We better find a way to help you get a lawyer..."" Ammar told me. ""How?"" I asked. ""Do you have any extra money?"" Ammar asked. ""Not even a penny..."" I replied. ""You're the only one who has any, and I don't have much either."" ""Well, I have ten dollar"," ""We need to get one of those online petitions going for people to agree with us..."" I said. ""What? And tell the admins of the wiki that we support poems?"" Ammar added. ""No, I just need money for a lawyer..."" I told him. ""So why didn't you just tell them that you wanted to get banned from the wiki?"" Ammar asked. ""They asked me to send in my reasons why I wanted to be banned!"" I told him. ""We better find a way to help you get a lawyer..."" Ammar told me. ""How?"" I asked. ""Do you have any extra money?"" Ammar asked. ""Not even a penny..."" I replied. ""You're the only one who has any, and I don't have much either."" ""Well, I have ten dollar",component fallacy
"Doctors refer to medical books all the time when they are treating patients. In the same way, I should be allowed to use a text book in my medical exam.",fallacy of logic,"Doctors refer to medical books all the time when they are treating patients. In the same way, I should be allowed to use a text book in my medical exam. Phenomenon: doctors refer to medical books Conclusion: I should be allowed to use a text book in my medical exam ", Phenomenon: doctors refer to medical books Conclusion: I should be allowed to use a text book in my medical exam ,component fallacy
My opponent is a card-carrying member of the K.K.K.,faulty generalization,My opponent is a card-carrying member of the K.K.K. Claim X: card-carrying member of the K.K.K. Claim Y: is a card-carrying member of the K.K.K. , Claim X: card-carrying member of the K.K.K. Claim Y: is a card-carrying member of the K.K.K. ,component fallacy
People nowadays only vote with their emotions instead of their brains.,faulty generalization,"People nowadays only vote with their emotions instead of their brains. When people vote with their brains, they will vote for my party, and I will win in the election. Phenomenon: People nowadays only vote with their emotions instead of their brains Conclusion: People nowadays vote with their brains "," When people vote with their brains, they will vote for my party, and I will win in the election. Phenomenon: People nowadays only vote with their emotions instead of their brains Conclusion: People nowadays vote with their brains ",component fallacy
"The Bible clearly says, “Thou shall not bear false witness.” Therefore, as a Christian, you better answer the door and tell our drunk neighbor with the shotgun, that his wife, whom he is looking to kill, is hiding in our basement. Otherwise, you are defying God himself!",faulty generalization,"The Bible clearly says, “Thou shall not bear false witness.” Therefore, as a Christian, you better answer the door and tell our drunk neighbor with the shotgun, that his wife, whom he is looking to kill, is hiding in our basement. Otherwise, you are defying God himself! Population: is looking to kill Belief: his wife, whom he is looking to kill Claim: hiding in our basement "," Population: is looking to kill Belief: his wife, whom he is looking to kill Claim: hiding in our basement ",component fallacy
"“President Jones raised taxes, and then the rate of violent crime went up. Therefore, I think Jones is responsible for the rise in crime.""",false causality,"“President Jones raised taxes, and then the rate of violent crime went up. Therefore, I think Jones is responsible for the rise in crime."" Logic x: President \$1 Jones raised tax x. Logic y: \$1 President Jones raised taxes ", Logic x: President \$1 Jones raised tax x. Logic y: \$1 President Jones raised taxes ,component fallacy
"The reason everyone wants the new ""Slap Me Silly Elmo"" doll is because this is the hottest toy of the season!",circular reasoning,"The reason everyone wants the new ""Slap Me Silly Elmo"" doll is because this is the hottest toy of the season! Logic x: Logic y: ", Logic x: Logic y: ,component fallacy
"Because Martin Sheen played the president on television, he'd probably make a great president in real life.",fallacy of credibility,"Because Martin Sheen played the president on television, he'd probably make a great president in real life. Claim Y: he'd probably make a great president in real life. Credibility: Martin Sheen plays the president on TV ", Claim Y: he'd probably make a great president in real life. Credibility: Martin Sheen plays the president on TV ,fallacy of relevance
"""I don't know how to complete my geometry homework tonight; I probably can't pass the course since I can't do this one assignment.""",faulty generalization,"""I don't know how to complete my geometry homework tonight; I probably can't pass the course since I can't do this one assignment."" Claim X: can't complete my geometry homework tonight Claim Y: probably can't pass the course since I can't do this one assignment ", Claim X: can't complete my geometry homework tonight Claim Y: probably can't pass the course since I can't do this one assignment ,component fallacy
"“Everyone else is doing it, so should you”.",ad populum,"“Everyone else is doing it, so should you”. Choice 1: “Everyone else is doing it, so should you.” Choice 2: “Everyone else is doing it, so should you.” ","Choice 1: “Everyone else is doing it, so should you.” Choice 2: “Everyone else is doing it, so should you.” ",fallacy of relevance
You have to invite Jenna to your party because it would not be nice not to invite Jenna.,circular reasoning,You have to invite Jenna to your party because it would not be nice not to invite Jenna. logic x: to invite Jenna logic y: to invite Jenna , logic x: to invite Jenna logic y: to invite Jenna ,component fallacy
This is why a woman shouldn’t do a man's job,ad hominem,This is why a woman shouldn’t do a man's job. A man could get a girl in trouble all by himself. I heard his son got a girl pregnant and had her put up in a home. attack: get a girl in trouble claim: all b,. A man could get a girl in trouble all by himself. I heard his son got a girl pregnant and had her put up in a home. attack: get a girl in trouble claim: all b,fallacy of relevance
"a persuasive technique used in media messages that appeals to the ""everyone is doing it"" mentality",ad populum,"a persuasive technique used in media messages that appeals to the ""everyone is doing it"" mentality is asking people what they have done: Population: everyone is doing it Belief: asking people what they have done Claim: should ask people what they have done Sentence 17: When you look at this table it is easy to see that the people in Texas drive over 120 miles per day. Population: Texas Belief: they drive over 120 miles per day. Claim: it is easy to see ", is asking people what they have done: Population: everyone is doing it Belief: asking people what they have done Claim: should ask people what they have done Sentence 17: When you look at this table it is easy to see that the people in Texas drive over 120 miles per day. Population: Texas Belief: they drive over 120 miles per day. Claim: it is easy to see ,fallacy of relevance
"Speaker 1: Dr. Singh says meat eating is bad for the environment.
Speaker 2: He’s a Sikh. They don’t eat meat. Of course he would say that. He can’t be telling the truth.",ad hominem,Speaker 1: Dr. Singh says meat eating is bad for the environment. Speaker 2: He’s a Sikh. They don’t eat meat. Of course he would say that. He can’t be telling the truth. Conclusion: he can’t be telling the truth , Conclusion: he can’t be telling the truth ,fallacy of relevance
"John says that Kentucky will beat Florida, but John sometimes lies, so I'm not sure.",ad hominem,"John says that Kentucky will beat Florida, but John sometimes lies, so I'm not sure. Phenomenon: John says that Kentucky will beat Florida and sometimes lies, so I\’m not sure Conclusion: Kentucky will beat Florida "," Phenomenon: John says that Kentucky will beat Florida and sometimes lies, so I\’m not sure Conclusion: Kentucky will beat Florida ",fallacy of relevance
How can I be expected to do my homework when billions of people around the world are throwing their plastic water bottles away without recycling them?,fallacy of logic,"How can I be expected to do my homework when billions of people around the world are throwing their plastic water bottles away without recycling them? Why is there a huge pile of garbage in our landfills? We are facing an environmental crisis on a global scale. That is why I decided to start recycling. Why don't we care about what we are doing to the planet and our fellow citizens? That is why I have become part of the first group of entrepreneurs to start recycling trash in my country and hopefully, it will make an impact on a global scale. Can you just leave me with one piece of advice? I will try to be a better person and improve myself everyday. ""Hello my name is "" and i want to teach people how to recycle the world's trash. "," Why is there a huge pile of garbage in our landfills? We are facing an environmental crisis on a global scale. That is why I decided to start recycling. Why don't we care about what we are doing to the planet and our fellow citizens? That is why I have become part of the first group of entrepreneurs to start recycling trash in my country and hopefully, it will make an impact on a global scale. Can you just leave me with one piece of advice? I will try to be a better person and improve myself everyday. ""Hello my name is "" and i want to teach people how to recycle the world's trash. ",component fallacy
The Royals are promoting their team for the next season by telling people to come join the team because everyone else has.,ad populum,"The Royals are promoting their team for the next season by telling people to come join the team because everyone else has. x) \#1: This team wants so badly to win that they are trying to get you to join. y) The team is already great so they shouldn't care that others join. z) The team should just keep doing what they are doing. A: In each case: \#1 is the right answer because it describes the best case in the sentence, which is how we would express our reasoning to support the claim being made. The Royals are promoting their team for the next season by telling people to come join th"," x) \#1: This team wants so badly to win that they are trying to get you to join. y) The team is already great so they shouldn't care that others join. z) The team should just keep doing what they are doing. A: In each case: \#1 is the right answer because it describes the best case in the sentence, which is how we would express our reasoning to support the claim being made. The Royals are promoting their team for the next season by telling people to come join th",fallacy of relevance
Either go to the party or spend the night in your room crying.,false dilemma,Either go to the party or spend the night in your room crying. Choice 1: go to the party Choice 2: spend the night in your room ,Choice 1: go to the party Choice 2: spend the night in your room ,component fallacy
This makes you think you need to believe or buy something because everyone else is. Which technique is it?,ad populum,This makes you think you need to believe or buy something because everyone else is. Which technique is it? Claim: need to believe or buy something Distortion: everyone is wrong to believe or buy , Claim: need to believe or buy something Distortion: everyone is wrong to believe or buy ,fallacy of relevance
"""Yes, we have safety issues in our factory. But we work really hard to make a good product. They sell so well!""",fallacy of relevance,"""Yes, we have safety issues in our factory. But we work really hard to make a good product. They sell so well!"" What's your response? Choice 1: don't comment Choice 2: ""They sell so well!"" ","Choice 1: don't comment Choice 2: ""They sell so well!"" ",fallacy of relevance
4 percent of Americans believe that lizard people control politics.,intentional,4 percent of Americans believe that lizard people control politics. Argument: 4 percent of Americans believe lizard people control politics. Intention: 4 percent of Americans to prove lizard people control politics , Argument: 4 percent of Americans believe lizard people control politics. Intention: 4 percent of Americans to prove lizard people control politics ,fallacy of relevance
"Mike: It is morally wrong to cheat on your spouse, why on earth would you have done that?
Ken: But what is morality exactly?
Mike: It’s a code of conduct shared by cultures.
Ken: But who creates this code?...
",fallacy of relevance,"Mike: It is morally wrong to cheat on your spouse, why on earth would you have done that? Ken: But what is morality exactly? Mike: It’s a code of conduct shared by cultures. Ken: But who creates this code?... Mike: What makes someone moral or immoral is that he or she behaves according to the code created. Ken: Huh. That’s weird. Mike: That’s just how life works. Ken: Hey, Mike. Why is life weird? Mike: Because, Ken, life is strange... Ken: Hey Mike, that doesn't answer my question. Mike: I got out my dictionary. Here is its definition: life is weird, life is weird, yes, is how life is. ","Mike: What makes someone moral or immoral is that he or she behaves according to the code created. Ken: Huh. That’s weird. Mike: That’s just how life works. Ken: Hey, Mike. Why is life weird? Mike: Because, Ken, life is strange... Ken: Hey Mike, that doesn't answer my question. Mike: I got out my dictionary. Here is its definition: life is weird, life is weird, yes, is how life is. ",fallacy of relevance
"There are no good restaurants in New York; I tried two in Times Square, and they were awful.",faulty generalization,"There are no good restaurants in New York; I tried two in Times Square, and they were awful. attack: Times Square claim: Restaurant quality in New York ", attack: Times Square claim: Restaurant quality in New York ,component fallacy
news organizations are Fake News?,faulty generalization,news organizations are Fake News? Then the whole world is fake! I am sure the government did it! Phenomenon: news organizations are Fake News? Conclusion: the whol, Then the whole world is fake! I am sure the government did it! Phenomenon: news organizations are Fake News? Conclusion: the whol,component fallacy
We believe on what we believe in.,intentional,"We believe on what we believe in. We believe in a God that is omnipresent. In most cases, we don't know enough to prove, we only know enough to believe"," We believe in a God that is omnipresent. In most cases, we don't know enough to prove, we only know enough to believe",fallacy of relevance
"There is no concrete proof that Duterte himself is corrupt; therefore, he is an honest politician.",intentional,"There is no concrete proof that Duterte himself is corrupt; therefore, he is an honest politician. We haven\'t found the ruins of Troy, so the city Troy really doesn\'t exist. Someone is lying. "," We haven\'t found the ruins of Troy, so the city Troy really doesn\'t exist. Someone is lying. ",fallacy of relevance
What’s the point of making drinking illegal under the age of 21?  Kids still manage to get alcohol.,intentional,What’s the point of making drinking illegal under the age of 21? Kids still manage to get alcohol. If someone gets drunk he can be arrested. I’m not saying get drunk! What I care about is if he has access to the alcohol. I don’t see why they should let him get it and make it so it’s very expensive for everyone if they have to get it every time they want a drink. People don’t have to be drunk in order to have fun. I’,If someone gets drunk he can be arrested. I’m not saying get drunk! What I care about is if he has access to the alcohol. I don’t see why they should let him get it and make it so it’s very expensive for everyone if they have to get it every time they want a drink. People don’t have to be drunk in order to have fun. I’,fallacy of relevance
"Because the last words spoken by either the pilot or co-pilot were ""Good night, Malaysia Three-Seven-Zero,"" the pilot fell asleep and accidentally crashed the plane into the ocean.",false causality,"Because the last words spoken by either the pilot or co-pilot were ""Good night, Malaysia Three-Seven-Zero,"" the pilot fell asleep and accidentally crashed the plane into the ocean. Event A: the last words spoken by either the pilot or co-pilot were ""Good night, Malaysia Three-Seven-Zero"" Event B: the pilot fell asleep and accidentally crashed the plane into the ocean Cause: the pilot crashed the plane into the ocean because he was drunk. "," Event A: the last words spoken by either the pilot or co-pilot were ""Good night, Malaysia Three-Seven-Zero"" Event B: the pilot fell asleep and accidentally crashed the plane into the ocean Cause: the pilot crashed the plane into the ocean because he was drunk. ",component fallacy
"Millions of people are Marxists, so Marxist economic and political theories are  correct.",ad populum,"Millions of people are Marxists, so Marxist economic and political theories are correct. Marxist Economics is not a valid theory. Population: millions of people Belief: be a Marxist Claim: Marxist economic and political ",Marxist Economics is not a valid theory. Population: millions of people Belief: be a Marxist Claim: Marxist economic and political ,fallacy of relevance
Cell phones stop students from concentrating in class because they are distracting.,circular reasoning,Cell phones stop students from concentrating in class because they are distracting. Argument: cell phones distract students in class because they are distracting Intention: Distracting in class , Argument: cell phones distract students in class because they are distracting Intention: Distracting in class ,component fallacy
"There are more laws on the books than ever before, and more crimes are being committed than ever before. Therefore, to reduce crime, we must eliminate the laws.",false causality,"There are more laws on the books than ever before, and more crimes are being committed than ever before. Therefore, to reduce crime, we must eliminate the laws. Phenomenon: There are more laws on the books than ever before, and more crimes are being committed Conclusion: to reduce crime we must eliminate the laws. "," Phenomenon: There are more laws on the books than ever before, and more crimes are being committed Conclusion: to reduce crime we must eliminate the laws. ",component fallacy
People who don't support the proposed state minimum wage increase hate the poor.,fallacy of extension,"People who don't support the proposed state minimum wage increase hate the poor. Phenomenon:don\'t support the proposed state minimum wir, hate the poor Conclusion:People who don\'t support the proposed state minimum wage increase hate the poor "," Phenomenon:don\'t support the proposed state minimum wir, hate the poor Conclusion:People who don\'t support the proposed state minimum wage increase hate the poor ",component fallacy
"Interviewer: ""Your resume looks impressive but I need another reference.""
Bill: ""Jill can give me a good reference.""
Interviewer: ""Good. But how do I know that Jill is trustworthy?""
Bill: ""Certainly. I can vouch for her.""",circular reasoning,"Interviewer: ""Your resume looks impressive but I need another reference."" Bill: ""Jill can give me a good reference."" Interviewer: ""Good. But how do I know that Jill is trustworthy?"" Bill: ""Certainly. I can vouch for her."" ------ I have this working in jquery to make all sentences bold but I'm not sure if this could be done for any text input, such as words, numbers, and other characters such as +# and =#. So I hope someone can help me. A: You don't necessarily need jQuery, just a regular <input>: <input type=""text"" id=""text""/> <button>Bold</button> If you don't want to use a <button> you can use an event handler: document.querySelector('#text').addEventListener('change', function(e) { var value = this.value; if (!/^\w+$/.test(value)) { return; } if (/\./.test(value)) { return; }"," ------ I have this working in jquery to make all sentences bold but I'm not sure if this could be done for any text input, such as words, numbers, and other characters such as +# and =#. So I hope someone can help me. A: You don't necessarily need jQuery, just a regular <input>: <input type=""text"" id=""text""/> <button>Bold</button> If you don't want to use a <button> you can use an event handler: document.querySelector('#text').addEventListener('change', function(e) { var value = this.value; if (!/^\w+$/.test(value)) { return; } if (/\./.test(value)) { return; }",component fallacy
use of people's desire to be part of the group to convince them,ad populum,use of people's desire to be part of the group to convince them to buy from the company. Population: people’s desire to be part of a group Belief: to buy from the company. Claim: you would use their desire to be part of the group , to buy from the company. Population: people’s desire to be part of a group Belief: to buy from the company. Claim: you would use their desire to be part of the group ,fallacy of relevance
"Child: This fish tastes funny. I don’t want to eat this.
Parent: There are children starving in Africa. Eat your dinner.",fallacy of relevance,Child: This fish tastes funny. I don’t want to eat this. Parent: There are children starving in Africa. Eat your dinner. Cause: the fish tastes weird , Cause: the fish tastes weird ,fallacy of relevance
"Girl:"" I'm worried that my friend is mad at me.""
Friend: ""I wonder what you call a male lady bug?""",fallacy of logic,"Girl:"" I'm worried that my friend is mad at me."" Friend: ""I wonder what you call a male lady bug?"" Girl: ""Is he?"" "," Girl: ""Is he?"" ",component fallacy
A smoke screen to cover the truth; a clue that is misleading or distracting.,fallacy of relevance,A smoke screen to cover the truth; a clue that is misleading or distracting. Do you think that the problem is more complex than that? Claim X: a smoke screen Claim Y: a clue that is misleading or distracting , Do you think that the problem is more complex than that? Claim X: a smoke screen Claim Y: a clue that is misleading or distracting ,fallacy of relevance
"Yes, I do think that all drunk drivers should go to prison, but your honor, he is my son!  He is a good boy who just made a mistake!",intentional,"Yes, I do think that all drunk drivers should go to prison, but your honor, he is my son! He is a good boy who just made a mistake! No way is he a criminal! Yes, I do think that all drunk drivers should go to prison, but your honor, he is my son! He is a good boy who just made a mistake! No way is he a criminal! Yes I do think that all drunk drivers should go to prison, but your honor, he is my son! He is a good boy who just made a mistake! Yes Yes, I do think that all drunk drivers should go to prison, but your honor, he is my son! He is a good boy who just made a mistake! No wa","No way is he a criminal! Yes, I do think that all drunk drivers should go to prison, but your honor, he is my son! He is a good boy who just made a mistake! No way is he a criminal! Yes I do think that all drunk drivers should go to prison, but your honor, he is my son! He is a good boy who just made a mistake! Yes Yes, I do think that all drunk drivers should go to prison, but your honor, he is my son! He is a good boy who just made a mistake! No wa",fallacy of relevance
