predictions,true_labels,amr_str
ad hominem,ad hominem,"# ::snt MSK0 tells MSK1 not to start MSK4 as MSK0 will MSK2 MSK1 when MSK0 is MSK3 , and MSK1 points out that MSK0 is a smoker . MSK0 does not alter the fact that MSK1 may MSK2 MSK4 when MSK0 is MSK3 . 
(m / multi-sentence
      :snt1 (a / and
            :op1 (t / tell-01
                  :ARG0 (p / person
                        :name (n / name
                              :op1 ""MSK0""))
                  :ARG1 (s / start-01
                        :polarity -
                        :ARG0 (p2 / person
                              :name (n2 / name
                                    :op1 ""MSK1""))
                        :ARG1 (t2 / thing
                              :name (n3 / name
                                    :op1 ""MSK4"")))
                  :ARG2 p2
                  :ARG1-of (c / cause-01
                        :ARG0 (t3 / thing
                              :name (n4 / name
                                    :op1 ""MSK2"")
                              :domain p
                              :condition (t4 / thing
                                    :name (n5 / name
                                          :op1 ""MSK3"")
                                    :domain p2))))
            :op2 (p3 / point-out-02
                  :ARG0 p2
                  :ARG1 (s2 / smoke-02
                        :ARG0 p)))
      :snt2 (a2 / alter-01
            :polarity -
            :ARG0 (p4 / person
                  :name (n6 / name
                        :op1 ""MSK0""))
            :ARG1 (p5 / possible-01
                  :ARG1 (t5 / thing
                        :name (n7 / name
                              :op1 ""MSK2"")
                        :domain (t6 / thing
                              :name (n8 / name
                                    :op1 ""MSK4"")))
                  :condition (t7 / thing
                        :name (n9 / name
                              :op1 ""MSK3"")
                        :domain p4))))"
false dilemma,false dilemma,"# ::snt MSK0 is either you are for the US war on terror or against MSK0 . 
(a / amr-choice
      :op1 (s / support-01
            :ARG0 (y / you)
            :ARG1 (w / war-01
                  :ARG0 (c / country
                        :name (n / name
                              :op1 ""US""))
                  :ARG2 (t / terror)))
      :op2 (o / oppose-01
            :ARG0 y
            :ARG1 (p / person
                  :name (n2 / name
                        :op1 ""MSK0""))))"
ad hominem,ad hominem,"# ::snt MSK0 diet advice is useless ; MSK0 has had problems with maintaining MSK0 MSK1 for most of MSK0 life , bouncing back and forth between being MSK1 and slender . 
(m / multi-sentence
      :snt1 (u / useless
            :domain (a / advise-01
                  :ARG2 (d / diet)
                  :mod (p / product
                        :name (n / name
                              :op1 ""MSK0""))))
      :snt2 (h / have-03
            :ARG0 (p2 / product
                  :name (n2 / name
                        :op1 ""MSK0""))
            :ARG1 (p3 / problem
                  :topic (m2 / maintain-01
                        :ARG0 p2
                        :ARG1 (p4 / product
                              :name (n3 / name
                                    :op1 ""MSK1""))))
            :duration (l / life
                  :mod p
                  :quant (m3 / most))
            :ARG0-of (c / cause-01
                  :ARG1 (b / bounce-01
                        :ARG1 p2
                        :ARG3 (a2 / and
                              :op1 (s / strong-02
                                    :ARG1 p2)
                              :op2 (s2 / slender
                                    :domain p2))
                        :path a2
                        :op1 (b2 / back)
                        :op2 (f / forth)))))"
false dilemma,false dilemma,"# ::snt MSK2 Do MSK0 want to MSK1 in a world where MSK0 can get breakfast from McDonald ’s all day , or would MSK0 rather MSK1 in a dictatorship ? MSK2 
(m / multi-sentence
      :snt1 (p / person
            :name (n / name
                  :op1 ""MSK2""))
      :snt2 (a / amr-choice
            :op1 (w / want-01
                  :ARG0 (p2 / person
                        :name (n2 / name
                              :op1 ""MSK0""))
                  :ARG1 (p3 / person
                        :name (n3 / name
                              :op1 ""MSK1""))
                  :location (w2 / world
                        :location-of (p4 / possible-01
                              :ARG1 (b / breakfast
                                    :source (c / company
                                          :name (n4 / name
                                                :op1 ""McDonald's"")))
                              :time (d / day
                                    :mod (a2 / all)))))
            :op2 (p5 / prefer-01
                  :ARG0 p2
                  :ARG1 p3
                  :location (d2 / dictatorship))))"
ad populum,ad populum,"# ::snt MSK0 promoting MSK0 for the next season by telling people to come join coref1 because everyone else has . 
(p / promote-02
      :ARG0 (p2 / person
            :name (n / name
                  :op1 ""MSK0""))
      :ARG1 p2
      :ARG2 (s / season
            :mod (n2 / next))
      :manner (t / tell-01
            :ARG0 p2
            :ARG1 (c / come-01
                  :ARG1 (p3 / person)
                  :ARG4 (j / join-01
                        :ARG0 p3
                        :ARG1 (o / organization
                              :name (n3 / name
                                    :op1 ""Coref1""))
                        :ARG1-of (c2 / cause-01
                              :ARG0 (j2 / join-01
                                    :ARG0 (e / everyone
                                          :mod (e2 / else))
                                    :ARG1 o))))
            :ARG2 p3))"
fallacy of relevance,fallacy of relevance,"# ::snt That parking attendant who gave me a ticket is as bad as Hitler . 
(h / have-degree-91
      :ARG1 (p / person
            :ARG0-of (g / give-01
                  :ARG1 (t / ticket-02)
                  :ARG2 (ii / i))
            :ARG0-of (a / attend-02
                  :ARG1 (p2 / park-01))
            :mod (t2 / that))
      :ARG2 (b / bad-02
            :ARG1 p)
      :ARG3 (e / equal)
      :ARG4 (p3 / person
            :name (n / name
                  :op1 ""Hitler"")))"
fallacy of relevance,fallacy of relevance,"# ::snt Distracting your audience from the original issue by introducing an irrelevant topic . 
(d / distract-01
      :ARG1 (a / audience
            :poss (y / you))
      :ARG2 (ii / issue-02
            :mod (o / original))
      :manner (ii2 / introduce-02
            :ARG0 y
            :ARG1 (t / topic
                  :ARG1-of (r / relevant-01
                        :polarity -))))"
false causality,false causality,"# ::snt MSK0 does not have many students , so that must mean that MSK0 has a very selective admissions process . 
(c / cause-01
      :ARG0 (h / have-03
            :polarity -
            :ARG0 (s / school
                  :name (n / name
                        :op1 ""MSK0""))
            :ARG1 (p / person
                  :quant (m / many)
                  :ARG0-of (s2 / study-01)))
      :ARG1 (o / obligate-01
            :ARG2 (m2 / mean-01
                  :ARG1 h
                  :ARG2 (h2 / have-03
                        :ARG0 s
                        :ARG1 (p2 / process-02
                              :ARG1 (a / admit-02)
                              :ARG1-of (s3 / select-01
                                    :degree (v / very)))))))"
faulty generalization,fallacy of logic,"# ::snt "" You passed everyone in the class , so I should get extra credit "" is an example of 
(e / exemplify-01
      :ARG0 (p / pass-07
            :ARG1 (y / you)
            :ARG2 (e2 / everyone
                  :location (c / class))
            :ARG0-of (c2 / cause-01
                  :ARG1 (r / recommend-01
                        :ARG1 (g / get-01
                              :ARG0 (ii / i)
                              :ARG1 (c3 / credit-01
                                    :ARG1 ii
                                    :mod (e3 / extra)))))))"
false causality,false causality,"# ::snt MSK3 , MSK0 walked under a ladder with an open umbrella indoors while spilling salt in front of a black cat . And MSK0 forgot to knock on wood with MSK0 MSK4 dice . MSK1 must be why MSK0 ’m having such a MSK2 day MSK3 . MSK1 ’s MSK2 MSK4 . 
(m / multi-sentence
      :snt1 (a / and
            :op1 (w / walk-01
                  :ARG0 (p / person
                        :name (n / name
                              :op1 ""MSK0""))
                  :ARG2 (u / under
                        :op1 (l / ladder))
                  :instrument (u2 / umbrella
                        :ARG1-of (o / open-01)
                        :location (ii / indoors))
                  :time (s / spill-01
                        :ARG0 p
                        :ARG1 (s2 / salt)
                        :location (ii2 / in-front-of
                              :op1 (c / cat
                                    :ARG1-of (b / black-04)))))
            :op2 (f / forget-01
                  :ARG0 p
                  :ARG1 (k / knock-01
                        :ARG0 p
                        :ARG1 (w2 / wood)
                        :instrument (d / dice
                              :mod (s3 / string-entity
                                    :value ""MSK0""))
                        :instrument (d2 / dice
                              :mod (s4 / string-entity
                                    :value ""MSK4"")))))
      :snt2 (o2 / obligate-01
            :ARG0 (s5 / string-entity
                  :value ""MSK1"")
            :ARG1 (c2 / cause-01
                  :ARG0 s5
                  :ARG1 (h / have-03
                        :ARG0 (p2 / person
                              :name (n2 / name
                                    :op1 ""MSK0""))
                        :ARG1 (d3 / day
                              :mod (s6 / string-entity
                                    :value ""MSK2""))
                        :mod (s7 / such))))
      :snt3 (s8 / string-entity
            :value ""MSK2""
            :domain (s9 / string-entity
                  :value ""MSK4"")))"
ad hominem,ad hominem,"# ::snt Yeah , MSK0 think MSK1 MSK3 on moral matters like MSK1 , but that MSK4 sleeps around with anything . MSK0 know of at least one marriage MSK4 's broken up , so why should MSK4 MSK3 on anything , much less morality ? 
(c / cause-01
      :ARG0 (k / know-01
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""MSK0""))
            :ARG1 (m / marry-01
                  :ARG1 (p2 / person
                        :name (n2 / name
                              :op1 ""MSK4""))
                  :ARG1-of (b / break-up-08)
                  :quant (a / at-least
                        :op1 1)))
      :ARG1 (t / think-01
            :ARG0 p
            :ARG1 (c2 / contrast-01
                  :ARG1 (c3 / concern-02
                        :ARG0 (m2 / matter
                              :ARG1-of (m3 / moral-02))
                        :ARG1 (p3 / product
                              :name (n3 / name
                                    :op1 ""MSK1""))
                        :ARG1-of (r / resemble-01
                              :ARG2 (c4 / concern-02
                                    :ARG0 m2
                                    :ARG1 (p4 / product
                                          :name (n4 / name
                                                :op1 ""MSK1"")))))
                  :ARG2 (s / sleep-around-00
                        :ARG0 p2
                        :ARG1 (a2 / anything))))
      :ARG1-of (c5 / cause-01
            :ARG0 (a3 / amr-unknown)))"
ad populum,ad populum,"# ::snt "" everybody 's doing MSK0 , so MSK0 must be a good thing to do . "" 
(d / do-02
      :ARG0 (e / everybody)
      :ARG1 (t / thing
            :name (n / name
                  :op1 ""MSK0""))
      :ARG0-of (c / cause-01
            :ARG1 (o / obligate-01
                  :ARG1 (d2 / do-02
                        :ARG1 (t2 / thing
                              :ARG1-of (g / good-02)
                              :domain t)))))"
circular reasoning,circular reasoning,"# ::snt MSK0 : smarter than a MSK1 . MSK1 : dumber than a MSK0 . 
(m / multi-sentence
      :snt1 (s / smart-06
            :ARG1 (p / product
                  :name (n / name
                        :op1 ""MSK0""))
            :ARG2-of (h / have-degree-91
                  :ARG1 p
                  :ARG3 (m2 / more)
                  :ARG4 (p2 / product
                        :name (n2 / name
                              :op1 ""MSK1""))))
      :snt2 (h2 / have-degree-91
            :ARG1 (p3 / product
                  :name (n3 / name
                        :op1 ""MSK1""))
            :ARG2 (d / dumb)
            :ARG3 (m3 / more)
            :ARG4 p))"
fallacy of extension,fallacy of extension,"# ::snt MSK0 : MSK0 think MSK1 should put more money into schools . Quality public education is so important . MSK2 : So MSK2 ’re saying MSK1 should cut MSK3 and spend MSK3 instead on more spiral notebooks and crayons ? MSK0 guess MSK2 want MSK1 country to be a weak , defenseless target for terrorists . 
(m / multi-sentence
      :snt1 (s / say-01
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""MSK0""))
            :ARG1 (t / think-01
                  :ARG0 p
                  :ARG1 (r / recommend-01
                        :ARG1 (p2 / put-01
                              :ARG0 (p3 / product
                                    :name (n2 / name
                                          :op1 ""MSK1""))
                              :ARG1 (m2 / money
                                    :mod (m3 / more))
                              :ARG2 (s2 / school)))))
      :snt2 (s3 / say-01
            :ARG0 (p4 / person
                  :name (n3 / name
                        :op1 ""MSK2""))
            :ARG1 (s4 / say-01
                  :ARG0 p4
                  :ARG1 (r2 / recommend-01
                        :ARG1 (a / and
                              :op1 (c / cut-02
                                    :ARG0 p4
                                    :ARG1 (p5 / product
                                          :name (n4 / name
                                                :op1 ""MSK3"")))
                              :op2 (s5 / spend-01
                                    :ARG0 p4
                                    :ARG1 (p6 / product
                                          :name (n5 / name
                                                :op1 ""MSK3""))
                                    :ARG3 (ii / instead-of-91
                                          :ARG1 (a2 / and
                                                :op1 (n6 / notebook
                                                      :mod (s6 / spiral))
                                                :op2 (c2 / crayon)
                                                :mod (m4 / more)))))))
            :polarity (a3 / amr-unknown))
      :snt3 (g / guess-01
            :ARG0 p
            :ARG1 (w / want-01
                  :ARG0 (p7 / person
                        :name (n7 / name
                              :op1 ""MSK2""))
                  :ARG1 (t2 / target-01
                        :ARG0 (t3 / terrorist)
                        :ARG1 (c3 / country
                              :mod (p8 / product
                                    :name (n8 / name
                                          :op1 ""MSK1"")))
                        :ARG1-of (w2 / weak-02)
                        :ARG1-of (d / defend-01
                              :polarity -))))
      :snt4 (ii2 / important-01
            :ARG1 (e / educate-01
                  :ARG1-of (p9 / public-02)
                  :mod (q / quality))
            :degree (s7 / so)))"
intentional,fallacy of credibility,"# ::snt If MSK0 allow MSK1 to MSK2 for encampment online , MSK0 ’d save everyone lots of headaches . REPLY : No . MSK0 ’ve always made MSK1 MSK2 using a paper form . 
(m / multi-sentence
      :snt1 (h / have-condition-91
            :ARG1 (s / save-01
                  :ARG0 (t / thing
                        :name (n / name
                              :op1 ""MSK0""))
                  :ARG1 (h2 / headache
                        :quant (l / lot))
                  :ARG2 (e / everyone))
            :ARG2 (a / allow-01
                  :ARG0 t
                  :ARG1 (m2 / move-01
                        :ARG0 t
                        :ARG1 (t2 / thing
                              :name (n2 / name
                                    :op1 ""MSK1""))
                        :ARG2 (t3 / thing
                              :name (n3 / name
                                    :op1 ""MSK2""))
                        :purpose (c / camp-02
                              :ARG1 t3
                              :medium (o / online)))))
      :snt2 (r / reply-01
            :ARG2 (m3 / make-01
                  :ARG0 t
                  :ARG1 (t4 / thing
                        :name (n4 / name
                              :op1 ""MSK1""))
                  :ARG2 t3
                  :time (a2 / always)
                  :manner (u / use-01
                        :ARG0 t
                        :ARG1 (f / form
                              :mod (p / paper))))))"
ad hominem,ad hominem,"# ::snt MSK0 raises a good point , but can we really trust MSK1 ? MSK0 mean , MSK1 moved to this town only two years ago , and everyone knows that MSK1 wife left MSK1 . 
(c / contrast-01
      :ARG1 (r / raise-01
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""MSK0""))
            :ARG1 (p2 / point-04
                  :ARG1-of (g / good-02)))
      :ARG2 (p3 / possible-01
            :ARG1 (t / trust-02
                  :ARG0 (w / we)
                  :ARG1 (p4 / person
                        :name (n2 / name
                              :op1 ""MSK1""))
                  :ARG1-of (r2 / real-04))
            :polarity (a / amr-unknown)
            :ARG1-of (m / mean-01
                  :ARG0 p
                  :ARG2 (a2 / and
                        :op1 (m2 / move-01
                              :ARG0 p4
                              :ARG2 (t2 / town
                                    :mod (t3 / this))
                              :time (b / before
                                    :op1 (n3 / now)
                                    :quant (t4 / temporal-quantity
                                          :quant 2
                                          :unit (y / year)
                                          :mod (o / only))))
                        :op2 (k / know-01
                              :ARG0 (e / everyone)
                              :ARG1 (l / leave-15
                                    :ARG0 (p5 / person
                                          :ARG0-of (h / have-rel-role-91
                                                :ARG1 p4
                                                :ARG2 (w2 / wife)))
                                    :ARG1 p4))))))"
ad populum,ad populum,"# ::snt Come on ! Everyone else thinks the movie is great - you should too ! 
(c / come-on-25
      :mode imperative
      :ARG1 (y / you)
      :ARG0-of (c2 / cause-01
            :ARG1 (t / think-01
                  :ARG0 (e / everyone
                        :mod (e2 / else))
                  :ARG1 (g / great
                        :domain (m / movie))
                  :ARG0-of (r / recommend-01
                        :ARG1 y
                        :mod (t2 / too)))))"
fallacy of logic,fallacy of logic,"# ::snt How can MSK0 be expected to do MSK0 homework when MSK1 are throwing MSK1 plastic water bottles away without recycling MSK1 ? 
(p / possible-01
      :ARG1 (e / expect-01
            :ARG1 (d / do-02
                  :ARG0 (p2 / person
                        :name (n / name
                              :op1 ""MSK0""))
                  :ARG1 (h / homework
                        :mod p2)))
      :ARG1-of (c / cause-01
            :ARG0 (t / throw-away-07
                  :ARG0 (p3 / person
                        :name (n2 / name
                              :op1 ""MSK1"")
                        :part (b / bottle
                              :mod (w / water)
                              :consist-of (p4 / plastic)
                              :ARG1-of t))
                  :prep-without (r / recycle-01
                        :ARG0 p3
                        :ARG1 b)))
      :manner (a / amr-unknown))"
intentional,fallacy of relevance,"# ::snt Ok , I am willing to MSK0 that there might not be angels and demons really floating around Heaven or hanging out in Hell , but you must MSK0 that there has to be at least one God . Is that a fair compromise ? 
(m / multi-sentence
      :snt1 (c / contrast-01
            :ARG1 (w / will-02
                  :ARG0 (ii / i)
                  :ARG1 (s / say-01
                        :ARG0 ii
                        :ARG1 (p / possible-01
                              :ARG1 (o / or
                                    :op1 (f / float-01
                                          :polarity -
                                          :ARG1 (a / and
                                                :op1 (a2 / angel)
                                                :op2 (d / demon))
                                          :ARG2 (a3 / around
                                                :op1 (h / heaven))
                                          :ARG1-of (r / real-04))
                                    :op2 (h2 / hang-out-06
                                          :polarity -
                                          :ARG1 a
                                          :location (h3 / hell))))
                        :ARG2 (p2 / person
                              :name (n / name
                                    :op1 ""MSK0"")))
                  :ARG2 (o2 / obligate-01
                        :ARG1 p2
                        :ARG2 (s2 / say-01
                              :ARG0 ii
                              :ARG1 o2
                              :ARG1 (p3 / person
                                    :name (n2 / name
                                          :op1 ""God"")
                                    :quant (a4 / at-least
                                          :op1 1)))
                        :ARG2 p2)))
      :snt2 (c2 / compromise-01
            :ARG1 (t / that)
            :ARG1-of (f2 / fair-01)
            :polarity (a5 / amr-unknown)))"
false dilemma,appeal to emotion,"# ::snt MSK0 really should support MSK1 and MSK1 campaign to strengthen national defense . If MSK0 do not , MSK1 will lose control of the Armed Forces Committee and likely resign from politics . 
(m / multi-sentence
      :snt1 (r / recommend-01
            :ARG1 (s / support-01
                  :ARG0 (p / person
                        :name (n / name
                              :op1 ""MSK0""))
                  :ARG1 (c / campaign-01
                        :ARG0 (a / and
                              :op1 (p2 / person
                                    :name (n2 / name
                                          :op1 ""MSK1""))
                              :op2 (p3 / person
                                    :name (n3 / name
                                          :op1 ""MSK1"")))
                        :ARG1 (s2 / strengthen-01
                              :ARG0 a
                              :ARG1 (d / defend-01
                                    :ARG1 (n4 / nation)))))
            :ARG1-of (r2 / real-04))
      :snt2 (a2 / and
            :op1 (l / lose-02
                  :ARG0 (p4 / person
                        :name (n5 / name
                              :op1 ""MSK1""))
                  :ARG1 (c2 / control-01
                        :ARG0 p4
                        :ARG1 (o / organization
                              :name (n6 / name
                                    :op1 ""Armed""
                                    :op2 ""Forces""
                                    :op3 ""Committee""))))
            :op2 (l2 / likely-01
                  :ARG1 (r3 / resign-01
                        :ARG0 p4
                        :ARG1 (p5 / politics)))
            :condition (d2 / do-02
                  :polarity -
                  :ARG0 p)))"
fallacy of logic,fallacy of logic,"# ::snt MSK0 are felines . All MSK1 are MSK1 . Therefore , MSK0 are MSK1 . 
(m / multi-sentence
      :snt1 (f / feline
            :domain (t / thing
                  :name (n / name
                        :op1 ""MSK0"")))
      :snt2 (t2 / thing
            :name (n2 / name
                  :op1 ""MSK1"")
            :mod (a / all)
            :domain (t3 / thing
                  :name (n3 / name
                        :op1 ""MSK1""))
            :ARG1-of (c / cause-01
                  :ARG0 (t4 / thing
                        :name (n4 / name
                              :op1 ""MSK1"")
                        :domain t))))"
fallacy of relevance,fallacy of relevance,"# ::snt MSK0 know you want to imprison MSK0 for having murdered MSK0 parents , but judge , have mercy on MSK0 , MSK0 ’m an orphan ! 
(c / contrast-01
      :ARG1 (k / know-01
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""MSK0""))
            :ARG1 (w / want-01
                  :ARG0 (y / you)
                  :ARG1 (ii / imprison-01
                        :ARG0 y
                        :ARG1 p
                        :ARG2 (m / murder-01
                              :ARG0 y
                              :ARG1 (p2 / person
                                    :ARG0-of (h / have-rel-role-91
                                          :ARG1 p
                                          :ARG2 (p3 / parent)))))))
      :ARG2 (h2 / have-03
            :mode imperative
            :ARG0 (p4 / person
                  :ARG0-of (j / judge-01))
            :ARG1 (m2 / mercy)
            :beneficiary p
            :ARG1-of (c2 / cause-01
                  :ARG0 (o / orphan
                        :domain p))))"
fallacy of credibility,fallacy of credibility,"# ::snt A book argues that MSK0 MSK0 is not actually happening , and cites the research of one environmental scientist who has been studying MSK0 MSK0 for several years . 
(a / and
      :op1 (a2 / argue-01
            :ARG0 (b / book)
            :ARG1 (t / thing
                  :name (n / name
                        :op1 ""MSK0""
                        :op2 ""MSK0"")
                  :ARG1-of (a3 / actual-02
                        :polarity -)))
      :op2 (c / cite-01
            :ARG0 b
            :ARG1 (r / research-01
                  :ARG0 (s / scientist
                        :quant 1
                        :mod (e / environment)
                        :ARG0-of (s2 / study-01
                              :ARG1 t
                              :duration (s3 / several
                                    :op1 (t2 / temporal-quantity
                                          :quant 1
                                          :unit (y / year))))))))"
circular reasoning,circular reasoning,"# ::snt "" MSK0 's the MSK2 MSK0 've ever had because MSK0 's the MSK2 MSK0 've known . "" 
(c / cause-01
      :ARG0 (h / have-03
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""MSK0""))
            :ARG1 (p2 / person
                  :name (n2 / name
                        :op1 ""MSK2""))
            :time (e / ever))
      :ARG1 (k / know-02
            :ARG0 p
            :ARG1 p2))"
circular reasoning,circular reasoning,"# ::snt MSK1 You ca n’t give MSK0 a C. MSK0 ’m an A student ! MSK1 
(m / multi-sentence
      :snt1 (p / person
            :name (n / name
                  :op1 ""MSK1""))
      :snt2 (p2 / possible-01
            :polarity -
            :ARG1 (g / give-01
                  :ARG0 (y / you)
                  :ARG1 (s / score-on-scale-91
                        :ARG1 ""C"")
                  :ARG2 (p3 / person
                        :name (n2 / name
                              :op1 ""MSK0""))))
      :snt3 (p4 / person
            :name (n3 / name
                  :op1 ""MSK0"")
            :ARG0-of (s2 / study-01
                  :mod (s3 / string-entity
                        :value ""A""))))"
ad populum,ad populum,"# ::snt MSK0 , as evidence for an idea , that many people MSK1 MSK0 , or used to MSK1 MSK0 or do MSK0 . 
(e / evidence-01
      :ARG0 (t / thing
            :name (n / name
                  :op1 ""MSK0""))
      :ARG1 (ii / idea
            :topic (o / or
                  :op1 (t2 / thing
                        :name (n2 / name
                              :op1 ""MSK1""
                              :op2 ""MSK0""))
                  :op2 (u / use-01
                        :ARG0 (p / person
                              :quant (m / many))
                        :ARG1 t)
                  :op3 (d / do-02
                        :ARG0 p
                        :ARG1 t))))"
appeal to emotion,fallacy of relevance,"# ::snt The level of mercury in seafood may be unsafe , but what will MSK0 do to support MSK0 families ? 
(c / contrast-01
      :ARG1 (p / possible-01
            :ARG1 (s / safe-01
                  :polarity -
                  :ARG0 (l / level
                        :quant-of (m / mercury)
                        :location (s2 / seafood))))
      :ARG2 (d / do-02
            :ARG0 (p2 / person
                  :name (n / name
                        :op1 ""MSK0""))
            :ARG1 (a / amr-unknown)
            :ARG2 (s3 / support-01
                  :ARG0 p2
                  :ARG1 (f / family
                        :mod p2))))"
fallacy of relevance,ad hominem,"# ::snt involves acceptance or rejection of concepts based on MSK0 source , not MSK0 merit 
(ii / involve-01
      :ARG1 (o / or
            :op1 (a / accept-01
                  :ARG1 (c / concept
                        :ARG1-of (b / base-02
                              :ARG2 (s / source
                                    :mod (p / product
                                          :name (n / name
                                                :op1 ""MSK0"")
                                          :ARG1-of (m / merit-01
                                                :polarity -))))))
            :op2 (r / reject-01
                  :ARG1 c)
            :ARG1-of (b2 / base-02
                  :ARG2 s)))"
ad hominem,ad hominem,"# ::snt MSK0 argues that because MSK0 friend was brainwashed as a child into thinking that MSK1 are MSK3 , MSK1 are not MSK3 . Name that fallacy : 
(m / multi-sentence
      :snt1 (a / argue-01
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""MSK0""))
            :ARG1 (c / cause-01
                  :ARG0 (b / brainwash-01
                        :ARG1 (p2 / person
                              :ARG0-of (h / have-rel-role-91
                                    :ARG1 p
                                    :ARG2 (f / friend)))
                        :ARG2 (t / think-01
                              :ARG0 p2
                              :ARG1 (p3 / person
                                    :name (n2 / name
                                          :op1 ""MSK3"")
                                    :domain (p4 / person
                                          :name (n3 / name
                                                :op1 ""MSK1""))))
                        :time (c2 / child))
                  :ARG1 (h2 / have-polarity-91
                        :ARG1 p4
                        :ARG2 -)))
      :snt2 (n4 / name-01
            :mode imperative
            :ARG0 (y / you)
            :ARG1 (f2 / fallacy
                  :mod (t2 / that))))"
intentional,fallacy of logic,"# ::snt comparison or metaphors to relate ideas or situations that are not really that similar 
(o / or
      :op1 (c / compare-01)
      :op2 (m / metaphor)
      :purpose (r / relate-02
            :ARG1 (o2 / or
                  :op1 (ii / idea)
                  :op2 (s / situation)
                  :ARG1-of (r2 / resemble-01
                        :polarity -
                        :degree (t / that)
                        :ARG1-of (r3 / real-04)))))"
fallacy of extension,fallacy of extension,"# ::snt Biology teacher : The theory of MSK5 states that all MSK5 MSK5 , even MSK0 . Student : I ca n't accept that MSK0 came from bugs . Profesor MSK1 biología : MSK2 teoría MSK1 MSK2 evolución afirma MSK3 todas las especies evolucionan , incluso MSK2 MSK4 . Estudiante : No puedo aceptar MSK3 MSK2 MSK4 provengan MSK1 insectos . 
(m / multi-sentence
      :snt1 (s / state-01
            :ARG0 (t / theory
                  :topic (e / enzyme
                        :name (n / name
                              :op1 ""MSK5"")))
            :ARG1 (a / and
                  :op1 (e2 / enzyme
                        :name (n2 / name
                              :op1 ""MSK5"")
                        :mod (a2 / all))
                  :op2 (e3 / enzyme
                        :name (n3 / name
                              :op1 ""MSK4"")
                        :mod (e4 / even))))
      :snt2 (s2 / say-01
            :ARG0 (p / person
                  :ARG0-of (s3 / study-01))
            :ARG1 (p2 / possible-01
                  :polarity -
                  :ARG1 (a3 / accept-01
                        :ARG0 p
                        :ARG1 (c / come-03
                              :ARG1 (e5 / enzyme
                                    :name (n4 / name
                                          :op1 ""MSK0""))
                              :ARG2 (b / bug)))))
      :snt3 s2
      :ARG0 (p3 / person
            :ARG0-of (p4 / profess-01
                  :ARG1 (e6 / enzyme
                        :name (n5 / name
                              :op1 ""MSK1""))))
      :ARG1 a
      :op1 (t2 / teoría
            :mod (e7 / enzyme
                  :name (n6 / name
                        :op1 ""MSK2"")))
      :op2 (e8 / evolucion
            :mod (e9 / enzyme
                  :name (n7 / name
                        :op1 ""MSK2"")))
      :op3 (p5 / prove-01
            :ARG1 (e10 / enzyme
                  :name (n8 / name
                        :op1 ""MSK1"")
                  :mod (ii / insect))))"
false dilemma,false dilemma,"# ::snt Either MSK0 MSK1 that MSK0 can afford this stereo , or MSK1 not to have music for a while 
(o / or
      :op1 (p / product
            :name (n / name
                  :op1 ""MSK0"")
            :ARG1-of (ii / include-91
                  :ARG2 (p2 / product
                        :name (n2 / name
                              :op1 ""MSK1"")))
            :ARG0-of (a / afford-01
                  :ARG1 (s / stereo
                        :mod (t / this))
                  :ARG1-of (p3 / possible-01)))
      :op2 (h / have-03
            :polarity -
            :ARG0 p2
            :ARG1 (m / music)
            :duration (w / while)))"
fallacy of credibility,fallacy of credibility,"# ::snt "" MSK0 is a MSK1 and MSK0 says that eating brushing MSK2 teeth twice a day is good for MSK2 . Since MSK0 is a MSK1 , MSK0 knows best . "" 
(m / multi-sentence
      :snt1 (a / and
            :op1 (t / thing
                  :name (n / name
                        :op1 ""MSN"")
                  :mod (s / string-entity
                        :value ""1""))
            :op2 (s2 / say-01
                  :ARG0 (t2 / thing
                        :name (n2 / name
                              :op1 ""MSK0"")
                        :part (t3 / tooth))
                  :ARG1 (g / good-04
                        :ARG1 (e / eat-01
                              :ARG1 (b / brush-01
                                    :ARG1 (t4 / tooth
                                          :name (n3 / name
                                                :op1 ""MSK2""))
                                    :frequency (r / rate-entity-91
                                          :ARG1 2
                                          :ARG2 (t5 / temporal-quantity
                                                :quant 1
                                                :unit (d / day)))))
                        :ARG2 t4)))
      :snt2 (k / know-01
            :ARG0 (t6 / thing
                  :name (n4 / name
                        :op1 ""MSK0"")
                  :part (t7 / tooth))
            :ARG1-of (c / cause-01
                  :ARG0 (t8 / thing
                        :name (n5 / name
                              :op1 ""MSN"")
                        :mod (s3 / string-entity
                              :value 1)))
            :ARG1-of (h / have-degree-91
                  :ARG2 (g2 / good-02
                        :ARG1 k)
                  :ARG3 (m2 / most))))"
