source_article,updated_label,masked_articles
"Tasha is studying polar and tropical climates on Earth. She learned the following:
• Tropical climates: Summer and winter temperatures are similar.
• Polar climates: Summer temperature is much higher than winter temperature.
Tasha wonders why the tropical climate has the same temperature year round, but the polar climate temperature differs greatly.
Which of these explains the reason for this difference?",false causality,"MSK<0> is studying MSK<1> and MSK<2> MSK<3> on Earth . MSK<0> learned the following : MSK<4> MSK<2> MSK<3> : Summer and MSK<6> are similar . MSK<4> MSK<1> MSK<3> : MSK<7> is much higher than MSK<6> . MSK<0> wonders why the MSK<2> MSK<3> has MSK<8> round , but MSK<7> differs greatly . Which of MSK<8> explains the reason for this difference ? "
The greatest thing that we can do is to love each other. Love is better than any other emotion.,circular reasoning,The greatest thing that we can do is to MSK<0> each other . MSK<0> is better than any other emotion . 
"Luke didn't want to eat his sheep's brains with chopped liver and brussel sprouts, but his father told him to think about the poor, starving children in a third world country who weren't fortunate enough to have any food at all.",appeal to emotion,"MSK<0> did n't want to eat MSK<0> sheep 's brains with chopped liver and brussel sprouts , but MSK<0> father told MSK<0> to think about the poor , starving children in a third world country who were n't fortunate enough to have any food at all . "
"Person 1:
""I am for raising the minimum wage in our state.""

Person 2:
""She is for raising the minimum wage, but she is not smart enough to even run a business.""",ad hominem,"MSK<4> : "" I am for MSK<2> . "" MSK<4> : "" MSK<3> is for MSK<2> , but MSK<3> is not smart enough to even run a business . "" "
"An advertisement asking people to give to St. Jude Research Center to help children struggling with cancer. You wouldn't want to let these children die, right?",appeal to emotion,"An advertisement asking people to give to St. Jude Research Center to help MSK<0> . You would n't want to let MSK<0> die , right ? "
"My neighbor's cat attacked me, therefore all cats are evil.",faulty generalization,"MSK<0> neighbor 's MSK<1> attacked MSK<0> , therefore all MSK<1> are evil . "
We should abolish the death penalty. Even Taylor Swift is opposed to it.,fallacy of credibility,We should abolish MSK<0> . Even Taylor Swift is opposed to MSK<0> . 
"A warm beer is better than a cold beer. After all, nothing is better than a cold beer, and a warm beer is better than nothing.",equivocation,"MSK<0> is MSK<1> than a MSK<3> . After all , nothing is MSK<1> than a MSK<3> , and MSK<0> is MSK<1> than nothing . "
"""I failed my AP vocab test so clearly I'm going to fail the class. Then I won't get into college and will never get a job. I will have to live in my parents' basement for the rest of my life. My life is ruined"" is an example of",faulty generalization,""" MSK<0> MSK<1> MSK<0> AP vocab test so clearly MSK<0> 'm going to MSK<1> the class . Then MSK<0> wo n't get into college and will never get a job . MSK<0> will have to live in MSK<0> parents ' basement for the rest of MSK<0> . MSK<0> is ruined "" is an example of "
"The Department of Transportation needs to reconsider the speed limit proposals on interstate highways for the simple reason that if they do not, their departmental budget for the Department of Transportation will be cut by 25%.",appeal to emotion,"MSK<0> needs to reconsider the speed limit proposals on interstate highways for the simple reason that if MSK<0> do not , MSK<0> departmental budget for MSK<0> will be cut by 25 % . "
"My dad went to school, so he knows everything about the education system.",fallacy of credibility,"MSK<0> went to school , so MSK<0> knows everything about the education system . "
"If you allow one student to take an online course, soon
everyone will want to, and the schools will be empty.
Si permite que un estudiante tome un curso en línea, pronto todos querrán, y las escuelas estarán vacías.",faulty generalization,"If you allow one student to take an online course , soon everyone will want to , and the schools will be empty . Si permite que MSK<0> estudiante tome MSK<0> curso en línea , pronto todos querrán , y las escuelas estarán vacías . "
Janice just lost her goldfish and so asks you to give her the benefit of the doubt. What fallacy has she committed?,appeal to emotion,MSK<0> just lost MSK<0> goldfish and so asks MSK<0> to give MSK<0> the benefit of the doubt . What fallacy has MSK<0> committed ? 
My opponent in the election keeps claiming that he wants to give tax credits to poor people. That means that he wants to raise taxes for the middle class.,fallacy of extension,MSK<0> keeps claiming that MSK<0> MSK<1> to give MSK<2> credits to poor people . That means that MSK<0> MSK<1> to raise MSK<2> for the middle class . 
"Every time that rooster crows, the sun comes up. That rooster must be very powerful and important!",false causality,"Every time that MSK<0> crows , the sun comes up . MSK<0> must be very powerful and important ! "
"The Church used to claim that giving 10% of your income to the Church will free a child’s soul from Limbo into Heaven, so clearly giving money to the Church is a scam!",false causality,"MSK<0> used to claim that giving 10 % of your income to MSK<0> will free a child ’s soul from Limbo into Heaven , so clearly giving money to MSK<0> is a scam ! "
"""'What about Red Herring, ma'am?''

""'I'm not sure. Is Red Herring a red herring? Or is it the fact that we're meant to think Red Herring is a red herring that is actually the red herring?'

""'Or perhaps the fact you're meant to think Red Herring isn't a red herring is what makes Red Herring a red herring after all.'

""'We're talking serious metaherrings here.'"" ",fallacy of relevance,""" ' What about MSK<1> , ma'am ? '' "" ' I 'm not sure . Is MSK<2> a MSK<1> ? Or is it the MSK<3> that MSK<4> 're MSK<5> to MSK<6> MSK<2> is a MSK<1> that is actually the MSK<1> ? ' "" ' Or perhaps the MSK<3> you 're MSK<5> to MSK<6> MSK<2> is n't a MSK<1> is what makes MSK<2> a MSK<1> after all . ' "" ' MSK<4> 're talking serious metaherrings here . ' "" "
Because doctors smoke it must be a healthy choice.,fallacy of credibility,Because doctors smoke it must be a healthy choice . 
"""You should run right out and purchase the newest iPhone 22 because you will literally be the only one who doesn't own one!"" This is an example of what type of persuasive technique?",ad populum,""" MSK<0> should run right out and purchase the newest iPhone 22 because MSK<0> will literally be the only one who does n't own one ! "" This is an example of what type of persuasive technique ? "
"Everyone who gets a college degree is better off.  All people who are better off as a result of getting a degree are good to have conversations with.  Therefore, everyone who gets a college degree is a good person to have a conversation with.",faulty generalization,"MSK<0> is MSK<1> off . All people who are MSK<1> off as a result of getting a degree are MSK<2> to have MSK<3> with . Therefore , MSK<0> is a MSK<2> person to have a MSK<3> with . "
Don't be the only one not wearing Nike!,ad populum,Do n't be the only one not wearing Nike ! 
My car broke down yesterday. Cars are worthless.,faulty generalization,My MSK<0> broke down yesterday . MSK<0> are worthless . 
"Because Martin Sheen played the president on television, he'd probably make a great president in real life.",fallacy of credibility,"Because MSK<0> played the MSK<1> on television , MSK<0> 'd probably make a great MSK<1> in real life . "
"Southerners talk fast. I was just on the phone with one, and I could barely keep up!",faulty generalization,"Southerners talk fast . MSK<0> was just on the phone with one , and MSK<0> could barely keep up ! "
"IBM is a reputable organization, so all of its employees must be reputable.",faulty generalization,"MSK<0> is a MSK<1> organization , so all of MSK<0> employees must be MSK<1> . "
"""The two courses I took at UF were not very interesting. I don't think its a good university.""",faulty generalization,""" The two courses MSK<0> took at UF were not very interesting . MSK<0> do n't think its a good university . "" "
"It was a rainy day in Harvard Square, so the foot traffic through the atrium from Mass Ave to Mount Auburn Street was heavier than it might have been if the sun were out. A lot of people were carrying umbrellas, which most of them furled inside. I had always thought that Cambridge, in the vicinity of Harvard, might have had the most umbrellas per capita of any place in the world. People used them when it snowed. In my childhood, in Laramie, Wyoming, we used to think people who carried umbrellas were sissies.",faulty generalization,"MSK<0> was a rainy day in MSK<1> , so the foot traffic through the atrium from Mass Ave to Mount Auburn Street was heavier than MSK<0> might have been if the sun were out . A lot of MSK<2> were MSK<3> MSK<4> , which most of MSK<2> furled inside . MSK<5> had always MSK<6> that Cambridge , in the vicinity of MSK<1> , might have had the most MSK<4> per capita of any place in the world . MSK<7> MSK<8> MSK<2> when it snowed . In MSK<5> childhood , in Laramie , Wyoming , we MSK<8> to MSK<6> MSK<7> who MSK<3> MSK<4> were sissies . "
"“[Everyone else is buying it, so you should too!]”",ad populum,"MSK<0> [ Everyone else is buying it , so you should too ! ] MSK<0> "
"If you allow the students to redo this test, they are going to want to redo every assignment for the rest of the year.",faulty generalization,"If you allow MSK<0> to MSK<1> this test , MSK<0> are going to want to MSK<1> every assignment for the rest of the year . "
"A major wrong has been committed by the local government and several people go to protest it, waving signs and blocking traffic. “Both sides are just as bad,” rants your uncle. What fallacy has he committed?",faulty generalization,"MSK<0> has been MSK<1> by the local government and several people go to protest MSK<0> , waving signs and blocking traffic . MSK<2> Both sides are just as bad , MSK<2> rants your uncle . What fallacy has he MSK<1> ? "
"If this client is competent to stand trial, she will certainly know the answers to at least 80% of the questions on this standardized test. She knows the answers to 87% of the test questions. Therefore she is competent to stand trial.",fallacy of logic,"If this client is MSK<0> to MSK<2> , MSK<3> will certainly MSK<5> to at least MSK<7> % of MSK<6> . MSK<3> MSK<5> to MSK<7> % of MSK<6> . Therefore MSK<3> is MSK<0> to MSK<2> . "
"Regime vs. government
Pro-death vs. pro-choice",appeal to emotion,Regime MSK<0> government Pro-death MSK<0> pro-choice 
"""All students everywhere should use clear backpacks because bad things happen at schools where students don't use clear backpacks.""",fallacy of extension,""" All MSK<0> everywhere should MSK<3> because bad things happen at schools where MSK<0> do n't MSK<3> . "" "
"I drank bottled water and now I am sick, so the water must have made me sick.",false causality,"MSK<0> drank MSK<1> and now MSK<0> am MSK<2> , so MSK<1> must have made MSK<0> MSK<2> . "
Six million read a paper—must be excellent,ad populum,Six million read a paper — must be excellent 
"Mother: You should stop smoking. It's harmful to your health.
Daughter: Why should I listen to you? You started smoking when you were 16!",ad hominem,Mother : MSK<0> should stop MSK<1> . It 's harmful to MSK<0> health . Daughter : Why should I listen to MSK<0> ? MSK<0> started MSK<1> when MSK<0> were 16 ! 
"I’m not a doctor, but I play a doctor on TV, and I wouldn’t dream of using anything but Tylenol for my toughest headaches. ",fallacy of credibility,"MSK<0> ’m not a MSK<1> , but MSK<0> play a MSK<1> on TV , and MSK<0> would n’t dream of using anything but Tylenol for MSK<0> toughest headaches . "
I shouldn’t be punished for staying out past my curfew because I did the dishes earlier today.,fallacy of relevance,MSK<0> should n’t be punished for staying out past MSK<0> curfew because MSK<0> did the dishes earlier today . 
"The time that children are vaccinated and the time they're diagnosed do closely correlate, however, leading upset parents to assign blame to the immunizations, for lack of a better explanation. ",false causality,"The MSK<0> that MSK<1> are MSK<2> and the MSK<0> MSK<1> 're diagnosed do closely correlate , however , leading upset parents to assign blame to the MSK<2> , for lack of a better explanation . "
"Hybrid cars are like solar power, full of promise but too expensive. We’ll never be able to build affordable hybrid cars.",fallacy of logic,"MSK<1> are like solar power , full of promise but too expensive . We ’ll never be able to build affordable MSK<1> . "
"All living beings come from other living beings.  Therefore, the first forms of life must have come from a living being.  That living being is God.",equivocation,"All MSK<0> beings MSK<1> from other MSK<0> beings . Therefore , the first forms of life must have MSK<1> from MSK<2> . MSK<2> is God . "
A commercial shows images of animals in need to persuade the audience to make donations.,appeal to emotion,A commercial shows images of animals in need to persuade the audience to make donations . 
"""Guys are messy and unclean, but are really hard workers."" is an example of ...",faulty generalization,""" Guys are messy and unclean , but are really hard workers . "" is an example of ... "
I've never knowingly listened to a Neil Young record all the way through because they all sound like someone strangling a cat (don't they?).,faulty generalization,I 've never knowingly listened to a Neil Young record all the way through because MSK<0> sound like someone strangling a cat ( do n't MSK<0> ? ) . 
"I view any discussion concerning the limiting of therapy as morally wrong, that is why I do not accept it.",circular reasoning,"MSK<0> view MSK<1> , that is why MSK<0> do not accept MSK<1> . "
“four out of five dentists agree that brushing your teeth makes your life meaningful”,fallacy of credibility,MSK<1> four out of five dentists agree that brushing MSK<0> teeth makes MSK<0> life meaningful MSK<1> 
"He has my vote for senator, because he has the best shirts.

What logic fallacy does this represent?",fallacy of logic,"MSK<0> has MSK<0> vote for senator , because MSK<0> has the best shirts . What logic fallacy does this represent ? "
"""Terrorists must not be given the chance to invade our beloved country.""",ad populum,""" Terrorists must not be given the chance to invade our beloved country . "" "
"""If you don't bring a pencil to class... you will end up sad and alone in life.""",faulty generalization,""" If MSK<0> do n't bring a pencil to class ... MSK<0> will end up sad and alone in life . "" "
"Michael Jordan wears Hanes underwear, so you should too!",fallacy of credibility,"Michael Jordan wears Hanes underwear , so you should too ! "
I know in my heart of hearts that our home team will win the World Series.,appeal to emotion,MSK<0> know in MSK<0> MSK<1> of MSK<1> that our home team will win the World Series . 
"TOPIC: Should people let their cats go outside?
DEBATE: ""People should let their cats go outside. Going outside gives cats more exercise.""
""But if you let cats go outside, then they'll hunt all the birds in the neighborhood. If you let them hunt all the birds, then robins will go extinct.""",faulty generalization,"TOPIC : Should MSK<0> MSK<1> MSK<0> go MSK<2> ? DEBATE : "" coref4 should MSK<1> coref3 go MSK<2> . Going MSK<2> gives cats more exercise . "" "" But if MSK<3> MSK<1> MSK<4> go MSK<2> , then MSK<4> 'll MSK<6> in the neighborhood . If MSK<3> MSK<1> MSK<4> MSK<6> , then robins will go extinct . "" "
“You could either pursue your dream job or stay where you are and be miserable for the rest of your life.”,false dilemma,MSK<1> MSK<0> could either pursue MSK<0> dream job or stay where MSK<0> are and be miserable for the rest of MSK<0> life . MSK<1> 
"The phrase ""Ninety percent of all people surveyed said that McDonalds is better than Burger King, so we can confidently say we are the best."" represents which fallacy?",ad populum,"The phrase "" Ninety percent of all people surveyed said that MSK<0> is better than Burger King , so MSK<0> can confidently say MSK<0> are the best . "" represents which fallacy ? "
"Subscribe to our streaming services, or get stuck with cable!",false dilemma,"Subscribe to our streaming services , or get stuck with cable ! "
"If you eat that cookie tonight, you'll eat ten tomorrow, and by this time next year, you'll be eating 1 million cookies a day.",faulty generalization,"If MSK<0> MSK<1> that MSK<2> MSK<3> , MSK<0> 'll MSK<1> ten MSK<3> , and by this time next year , MSK<0> 'll be MSK<1> 1 million MSK<2> a day . "
"Calling Senator Warren ""Pocahontas,"" instead of debating her ideas on cancelling student loan debt is an example of:",ad hominem,"Calling Senator Warren "" Pocahontas , "" instead of debating her ideas on cancelling student loan debt is an example of : "
"Colin Closet asserts that if we allow same-sex couples to marry, then the next thing we know we'll be allowing people to marry their parents, their cars and even monkeys.",faulty generalization,"Colin Closet asserts that if MSK<0> MSK<1> same - sex couples to MSK<2> , then the next thing MSK<0> know MSK<0> 'll be MSK<1> MSK<3> to MSK<2> MSK<3> parents , MSK<3> cars and even monkeys . "
Believing in the literal resurrection of Jesus is like believing in the literal existence of zombies.,fallacy of logic,MSK<0> in the MSK<1> resurrection of Jesus is like MSK<0> in the MSK<1> existence of zombies . 
AttP 9: everyone wearing new llama wool coats makes them warm,ad populum,AttP 9 : everyone wearing new llama wool coats makes them warm 
"the reason why more people are leaving this country is because of economic problems, therefore because there is an economic problem is that people are leaving this country.",circular reasoning,"the reason why more MSK<0> are MSK<2> is because of MSK<4> , therefore because there is an MSK<4> is that MSK<0> are MSK<2> . "
"""Everyone loves going to the movies.""",faulty generalization,""" Everyone loves going to the movies . "" "
No one can deny that [my theoretical orientation] is the only valid theoretical orientation,circular reasoning,No one can deny that [ my MSK<1> ] is the only valid MSK<1> 
"Billy: How could the universe be 6000 years old when we know the speed of light, the distance of astronomical objects (13+ billion light years away), and the fact that the light has reached us[1]?
Marty: 6000 years is not a firm number.  The universe can be as old as about 10,000 years.
Billy: How do you figure that?...",fallacy of relevance,"MSK<0> : How could MSK<1> be MSK<2> MSK<3> MSK<4> when MSK<5> know the speed of MSK<6> , the distance of astronomical objects ( 13 + billion light MSK<3> away ) , and the fact that MSK<6> has reached MSK<5> [ 1 ] ? Marty : MSK<2> MSK<3> is not a firm number . MSK<1> can be as MSK<4> as about 10,000 MSK<3> . MSK<0> : How do MSK<0> figure that ? ... "
People who buy stocks are no different from people who bet on horse racing. They both risk their money with little chance of making a big profit.,fallacy of logic,MSK<0> are no different from people who bet on horse racing . MSK<0> risk MSK<0> money with little chance of making a big profit . 
My father told me that the sky is green. So it must be the truth.,fallacy of credibility,MSK<0> father told MSK<0> that MSK<1> is green . So MSK<1> must be the truth . 
"You've got to teach the boys logic! If you don't teach them logic, they won't learn how to think! And they'll become hobos and die in prison! Don't you care about your sons? (Mother to Father)",false dilemma,"MSK<0> 've got to MSK<1> the boys MSK<2> ! If MSK<0> do n't MSK<1> MSK<3> MSK<2> , MSK<3> wo n't learn how to think ! And MSK<3> 'll become hobos and die in prison ! Do n't MSK<0> care about MSK<0> sons ? ( MSK<4> to MSK<4> ) "
"Charlie: Illegal posting and sharing of songs online is crippling the music industry.
Bob: You couldn't be more wrong; the music industry is doing just find. I can't believe you think the government should be allowed to regulate what I share with my ""friends."" No one wants a world where I can't loan a book to my girlfriend, let my roommate borrow my iPod, or share a funny meme with my blog followers.",fallacy of extension,"Charlie : Illegal posting and MSK<2> of songs online is crippling MSK<0> . MSK<1> : MSK<1> could n't be more wrong ; MSK<0> is doing just find . MSK<1> ca n't believe MSK<1> think the government should be allowed to regulate what MSK<1> MSK<2> with MSK<1> "" friends . "" No one wants a world where MSK<1> ca n't loan a book to MSK<1> girlfriend , let MSK<1> roommate borrow MSK<1> iPod , or MSK<2> a funny meme with MSK<1> blog followers . "
"Speaker 1: I think we should have single payer, universal, health care.
Speaker 2: Communist countries tried that. We don’t want America to be a communist country. We shouldn’t have single payer health care.",fallacy of extension,"MSK<8> : I think MSK<1> should have MSK<3> , universal , MSK<5> . MSK<8> : MSK<7> tried that . MSK<1> do n’t want America to be a MSK<7> . MSK<1> should n’t have MSK<3> MSK<5> . "
"fallacy suggesting that because everyone believes something or does something, it must be valid, accurate, or effective.",ad populum,"fallacy suggesting that because everyone believes MSK<0> or does something , MSK<0> must be valid , accurate , or effective . "
"Now you tell me she looks presidential, folks. I look presidential",ad hominem,"Now MSK<0> tell me she MSK<2> , folks . MSK<0> MSK<2> "
"MARVIN STONE: You suggest that we scrap the SALT II treaty already negotiated, and intensify the build-up of American power to induce the Soviets to sign a new treaty - one more favorable to us. President Carter, on the other hand, says he will again try to convince a reluctant Congress to ratify the present treaty on the grounds it's the best we can hope to get. Now, both of you cannot be right. Will you tell us why you think you are?
RONALD REAGAN: Yes. I think I'm right because I believe that we must have a consistent foreign policy, a strong America, and a strong economy. And then, as we build up our national security, to restore our margin of safety, we at the same time try to restrain the Soviet build-up, which has been going forward at a rapid pace, and for quite some time.
October 28, 1980
Cleveland, Ohio
What logical fallacy did Reagan’s response illustrate the use of?",appeal to emotion,"MARVIN STONE : You suggest that MSK<0> scrap MSK<1> already negotiated , and intensify the MSK<2> - up of American power to induce the MSK<11> to sign a new treaty - one more favorable to MSK<0> . MSK<3> , on the other hand , says MSK<3> will again MSK<4> to convince a reluctant Congress to ratify MSK<1> on the grounds it 's the best MSK<0> can hope to get . Now , both of MSK<5> can not be MSK<6> . Will MSK<5> tell MSK<0> why MSK<5> MSK<7> MSK<5> are ? RONALD MSK<8> : Yes . MSK<5> MSK<7> MSK<5> 'm MSK<6> because MSK<5> believe that MSK<0> must have a consistent foreign policy , a MSK<9> America , and a MSK<9> economy . And then , as MSK<0> MSK<2> up MSK<0> national security , to restore MSK<0> margin of safety , MSK<0> at the same MSK<10> MSK<4> to restrain the MSK<11> MSK<2> - up , which has been going forward at a rapid pace , and for quite some MSK<10> . October 28 , 1980 Cleveland , Ohio What logical fallacy did MSK<8> ’s response illustrate the use of ? "
"Nicole identified that Hannah had committed a logical fallacy, but instead of addressing the substance of her claim, Hannah accused Nicole of committing a fallacy earlier on in the conversation.",ad hominem,"MSK<0> identified that MSK<1> had MSK<2> a logical MSK<3> , but instead of addressing the substance of MSK<0> claim , MSK<1> accused MSK<0> of MSK<2> a MSK<3> earlier on in the conversation . "
"At soccer practice, Willeidy tells Aida, ""Pace's soccer team was losing until I bought new shoes. We have not lost a game since I got my lucky shoes!""",false causality,"At MSK<0> practice , MSK<1> tells Aida , "" Pace 's MSK<0> team was MSK<2> until MSK<1> bought new MSK<3> . We have not MSK<2> a game since MSK<1> got MSK<1> lucky MSK<3> ! "" "
"""It is an outrage that the school wants to remove the vending machines. This is taking our freedom away!""",appeal to emotion,""" It is an outrage that MSK<0> wants to remove the vending machines . MSK<0> is taking our freedom away ! "" "
"Bill lives in a large building, so his apartment must be large.""",fallacy of logic,"MSK<0> lives in a MSK<1> building , so MSK<0> apartment must be MSK<1> . "" "
"Last year, the city of Brookfield allocated more money to public parks. This year, however, littering increased, so the increase in park funding must have been responsible.",false causality,"Last MSK<0> , the city of Brookfield allocated more money to public MSK<1> . This MSK<0> , however , littering MSK<2> , so the MSK<2> in MSK<1> funding must have been responsible . "
"Every day, I eat cereal for breakfast. One time, I had a muffin instead, and there was a major earthquake in my city. I've eaten cereal ever since.",false causality,"Every day , MSK<0> MSK<2> for breakfast . One time , MSK<0> had a muffin instead , and there was a major earthquake in MSK<0> city . MSK<0> 've MSK<2> ever since . "
"George: Man, those girls are smokin' hot!
Derek: No, they're not. You're a victim of the cheerleader effect. When girls are together in a group, each girl looks a lot better than if you were to see her without the other girls.
",ad hominem,"George : Man , MSK<0> are smokin ' hot ! MSK<1> : No , MSK<0> 're not . MSK<1> 're a victim of the cheerleader effect . When MSK<2> are together in a group , MSK<3> looks a lot better than if MSK<1> were to see MSK<3> without the other MSK<2> . "
"Chihuahuas are good inside dogs. German Shepherds are dogs; therefore, German Shepherds would be good inside dogs, too.",faulty generalization,"Chihuahuas are MSK<1> MSK<2> . MSK<4> are MSK<2> ; therefore , MSK<4> would be MSK<1> MSK<2> , too . "
"Look, the only way to improve social programs is to raise taxes. You have to either raise taxes, or accept that the poor and needy are going to suffer.",false dilemma,"Look , the only way to improve social programs is to MSK<1> . You have to either MSK<1> , or accept that the poor and needy are going to suffer . "
"Three congressional representatives have had affairs. Therefore, members of Congress are adulterers.",faulty generalization,"Three MSK<0> representatives have had affairs . Therefore , members of MSK<0> are adulterers . "
"Your honor, if we let Pinocchio get away with lying, what's next? Stealing? Murder? ...",faulty generalization,"Your honor , if we let Pinocchio get away with lying , what 's next ? Stealing ? Murder ? ... "
"Bob: that movie was a waste of time and money
Ted: what was wrong with it?
Bob: It sucked

This is an example of?",circular reasoning,MSK<0> : that movie was MSK<1> and money Ted : what was wrong with MSK<1> ? MSK<0> : MSK<1> sucked This is an example of ? 
"Joe eats horribly; therefore, his heart attack was caused by his eating habits.",false causality,"MSK<0> MSK<1> horribly ; therefore , MSK<0> heart attack was caused by MSK<0> MSK<1> habits . "
"""I believe deeply that canceling the fashion show is the best decision. I know it is. I am very certain about it.""",fallacy of relevance,""" MSK<0> believe deeply that canceling MSK<1> is the best decision . MSK<0> know MSK<1> is . MSK<0> am very certain about MSK<1> . "" "
"'Our family has always been farmers, so we should always be farmers'' is an example of which logical fallacy?",fallacy of credibility,"' MSK<0> family has always been MSK<1> , so MSK<0> should always be MSK<1> '' is an example of which logical fallacy ? "
"""All elephants are big. Some boys are big. Therefore some boys are elephants.""",faulty generalization,""" All MSK<0> are MSK<1> . MSK<2> are MSK<1> . Therefore MSK<2> are MSK<0> . "" "
"Helga: You should not be eating that... it has been scientifically proven that eating fat burgers are no good for your health.
Hugh: You eat fat burgers all the time so that can’t be true.
",ad hominem,MSK<0> : MSK<0> should not be MSK<1> that ... it has been scientifically proven that MSK<1> MSK<3> are no good for MSK<0> health . Hugh : MSK<0> MSK<1> MSK<3> all the time so that ca n’t be true . 
Lahat nakamove-on na ikaw na lang hindi pa. #MarcosIsAHero,ad populum,Lahat nakamove - on MSK<0> ikaw MSK<0> lang hindi pa . #MarcosIsAHero 
We will not rest until we reach a day when not one single veteran falls into homelessness.,appeal to emotion,MSK<0> will not rest until MSK<0> reach a day when not one single veteran falls into homelessness . 
My mom says that most tourist from France are rude. She had to wait on one the other day and the lady threw her pancakes on the ground because they were not big enough.,faulty generalization,MSK<0> says that most tourist from France are rude . MSK<0> had to wait on one the other day and MSK<0> threw MSK<0> pancakes on the ground because MSK<0> were not big enough . 
We have pure food and drug laws; why can't we have laws to keep moviemakers from giving us filth ?,fallacy of logic,MSK<0> have pure food and drug MSK<1> ; why ca n't MSK<0> have MSK<1> to keep moviemakers from giving MSK<0> filth ? 
Presenting an unqualified person or institution as a source of credible information.,fallacy of credibility,Presenting an unqualified person or institution as a source of credible information . 
"If you are not with us, you are against us.",false dilemma,"If MSK<0> are not with MSK<1> , MSK<0> are against MSK<1> . "
"In class, Ryan turns to Doug and says, ""Smoking cigarettes is nothing short of suicide: the smoker is willingly killing himself. Duh.""",fallacy of relevance,"In class , Ryan turns to Doug and says , "" Smoking cigarettes is nothing short of suicide : MSK<0> is willingly killing MSK<0> . Duh . "" "
"Fred, the German, stole my wallet. Therefore, all Germans are thieves.",faulty generalization,"Fred , the MSK<0> , stole my wallet . Therefore , all MSK<0> are thieves . "
"""You must obey the law, because it's illegal to break the law.""

What logical fallacy is used in the statement above?",circular reasoning,""" You must obey MSK<0> , because MSK<0> 's illegal to break MSK<0> . "" What logical fallacy is used in the statement above ? "
"My opponent raised a good point, but can we trust him? I mean he just moved to town only 5 months ago, how much could he really know?",ad hominem,"MSK<0> raised a good point , but can we trust MSK<1> ? MSK<0> mean MSK<1> just moved to town only 5 months ago , how much could MSK<1> really know ? "
"If the President arrives in Hawaii, and the next day a volcano erupts, believing that the volcano erupted because the President arrived on the island is an example of:",false causality,"If MSK<1> in Hawaii , and the next day MSK<3> , believing that MSK<3> because MSK<1> on the island is an example of : "
"I refuse to stay on the 13th floor of any hotel because it is bad luck.  However, I don’t mind staying on the same floor as long as we call it the 14th floor.",false causality,"MSK<0> refuse to MSK<1> on the MSK<4> MSK<2> of MSK<3> because MSK<3> is bad luck . However , MSK<0> do n’t mind MSK<1> on the same MSK<2> as long as we call MSK<3> the MSK<4> MSK<2> . "
This makes you think you need to believe or buy something because everyone else is. Which technique is it?,ad populum,MSK<0> makes MSK<1> think MSK<1> need to believe or buy something because everyone else is . Which technique is MSK<0> ? 
Either go to the party or spend the night in your room crying.,false dilemma,Either go to the party or spend the night in your room crying . 
"""Sir, please let me take the exam. I was late because I need to cook our breakfast and wash the dishes.""",appeal to emotion,""" Sir , please let MSK<0> take the exam . MSK<0> was late because MSK<0> need to cook our breakfast and wash the dishes . "" "
"U.S. Sen. Tom Coburn says that lesbianism is rampant in the Oklahoma schools. This must, indeed, be true, because surely the senator couldn't be mistaken about the schools in his own state.",fallacy of credibility,"U.S. Sen. Tom Coburn says that lesbianism is rampant in the Oklahoma MSK<0> . This must , indeed , be true , because surely MSK<1> could n't be mistaken about the MSK<0> in MSK<1> own state . "
"All this time that you're telling me to improve, you're being lazy yourself.",ad hominem,"All this time that MSK<0> 're telling me to improve , MSK<0> 're being lazy MSK<0> . "
"I believe one should never deliberately hurt another person, that’s why I can never be a surgeon.",faulty generalization,"MSK<0> believe one should never deliberately hurt another person , that ’s why MSK<0> can never be a surgeon . "
Either you text your friend or you don't have any fun at all.,false dilemma,Either MSK<0> text MSK<0> friend or MSK<0> do n't have any fun at all . 
"You ask your mother if you can go to the mall with your friends. She says ""no"". You ask why? She says, ""because I'm the mom and I say so"". This is an example of which logical fallacy?",fallacy of credibility,"MSK<0> MSK<1> MSK<0> if MSK<0> can go to the mall with MSK<0> friends . MSK<2> says "" no "" . MSK<0> MSK<1> why ? MSK<2> says , "" because MSK<2> 'm the mom and MSK<2> say so "" . This is an example of which logical fallacy ? "
"The spider that bit was poison, therefore all spiders are poison.",faulty generalization,"The MSK<0> that bit was MSK<1> , therefore all MSK<0> are MSK<1> . "
“Gay marriages are just immoral. 70% of Americans think so!”,ad populum,MSK<0> Gay marriages are just immoral . 70 % of Americans think so ! MSK<0> 
"""You can't give me a D because I'm an A student!""",circular reasoning,""" You ca n't give MSK<0> a D because MSK<0> 'm an A student ! "" "
"dude #1: ""I support Black Lives Matter's mission to establish and put into better practice restorative justice...""

dude #2: But don't all lives matter?

dude #1: Of course, but I'm telling you about the mission of BLM.",fallacy of relevance,"MSK<0> # MSK<1> : "" MSK<2> support Black Lives MSK<3> 's MSK<4> to establish and put into better practice restorative justice ... "" MSK<0> # MSK<1> : But do n't all lives MSK<3> ? MSK<0> # MSK<1> : Of course , but MSK<2> 'm telling you about the MSK<4> of BLM . "
